Classifier initialized!

Categories returned: 965

INDEX: 134 | DISPLAY: Calidris pusilla | CATEGORY: /m/01pj7p | SCORE: 0.0
INDEX: 550 | DISPLAY: Luscinia svecica | CATEGORY: /m/0k897 | SCORE: 0.0
INDEX: 557 | DISPLAY: Melanerpes aurifrons | CATEGORY: /m/05mr_d | SCORE: 0.0
INDEX: 566 | DISPLAY: Ardea cocoi | CATEGORY: /m/02w4pqs | SCORE: 0.0
INDEX: 70 | DISPLAY: Podilymbus podiceps | CATEGORY: /m/01f709 | SCORE: 0.0
INDEX: 582 | DISPLAY: Aquila chrysaetos | CATEGORY: /m/0m41v | SCORE: 0.0
INDEX: 294 | DISPLAY: Cinnyris jugularis | CATEGORY: /m/02k5g3 | SCORE: 0.0
INDEX: 598 | DISPLAY: Circus aeruginosus | CATEGORY: /m/02p1684 | SCORE: 0.0
INDEX: 150 | DISPLAY: Dryocopus pileatus | CATEGORY: /m/01zbqj | SCORE: 0.0
INDEX: 614 | DISPLAY: Buteogallus anthracinus | CATEGORY: /m/04x4h_ | SCORE: 0.0
INDEX: 310 | DISPLAY: Columba palumbus | CATEGORY: /m/01vvl1 | SCORE: 0.0
INDEX: 629 | DISPLAY: Gerygone igata | CATEGORY: /m/02w6qn5 | SCORE: 0.0
INDEX: 38 | DISPLAY: Tyrannus tyrannus | CATEGORY: /m/0252tf | SCORE: 0.0
INDEX: 646 | DISPLAY: Dives dives | CATEGORY: /m/0bz9cs | SCORE: 0.0
INDEX: 653 | DISPLAY: Certhia americana | CATEGORY: /m/024j9l | SCORE: 0.0
INDEX: 662 | DISPLAY: Periparus ater | CATEGORY: /m/01k98x | SCORE: 0.0
INDEX: 166 | DISPLAY: Aix galericulata | CATEGORY: /m/01lkls | SCORE: 0.0
INDEX: 678 | DISPLAY: Tigrisoma mexicanum | CATEGORY: /m/0bfvrm | SCORE: 0.0
INDEX: 342 | DISPLAY: Geopelia striata | CATEGORY: /m/08qnmc | SCORE: 0.0
INDEX: 694 | DISPLAY: Agelaius phoeniceus | CATEGORY: /m/01c1g2 | SCORE: 0.0
INDEX: 86 | DISPLAY: Vireo philadelphicus | CATEGORY: /m/024tx2 | SCORE: 0.0
INDEX: 710 | DISPLAY: Setophaga pinus | CATEGORY: /m/0292rt | SCORE: 0.0
INDEX: 358 | DISPLAY: Riparia riparia | CATEGORY: /m/01c004 | SCORE: 0.0
INDEX: 726 | DISPLAY: Spinus pinus | CATEGORY: /m/020l7k | SCORE: 0.0
INDEX: 182 | DISPLAY: Melanerpes carolinus | CATEGORY: /m/01zpxn | SCORE: 0.0
INDEX: 742 | DISPLAY: Aechmophorus occidentalis | CATEGORY: /m/01f74z | SCORE: 0.0
INDEX: 374 | DISPLAY: Calidris bairdii | CATEGORY: /m/01tpxp | SCORE: 0.0
INDEX: 758 | DISPLAY: Larus glaucescens × occidentalis | CATEGORY: 243970 | SCORE: 0.0
INDEX: 22 | DISPLAY: Empidonax occidentalis | CATEGORY: /m/026dzw2 | SCORE: 0.0
INDEX: 774 | DISPLAY: Acridotheres tristis | CATEGORY: /m/02fkwj | SCORE: 0.0
INDEX: 390 | DISPLAY: Numenius phaeopus | CATEGORY: /m/01rl9c | SCORE: 0.0
INDEX: 198 | DISPLAY: Ammodramus maritimus | CATEGORY: /m/02ptfj8 | SCORE: 0.0
INDEX: 790 | DISPLAY: Eugenes fulgens | CATEGORY: /m/0bpqtt | SCORE: 0.0
INDEX: 398 | DISPLAY: Arenaria interpres | CATEGORY: /m/02wv6jp | SCORE: 0.0
INDEX: 798 | DISPLAY: Porphyrio hochstetteri | CATEGORY: /m/034vrb | SCORE: 0.0
INDEX: 806 | DISPLAY: Tringa solitaria | CATEGORY: /m/01qh4z | SCORE: 0.0
INDEX: 406 | DISPLAY: Limosa lapponica | CATEGORY: /m/01v7fz | SCORE: 0.0
INDEX: 814 | DISPLAY: Cygnus buccinator | CATEGORY: /m/033jqt | SCORE: 0.0
INDEX: 822 | DISPLAY: Anas cyanoptera | CATEGORY: /m/01l8p9 | SCORE: 0.0
INDEX: 102 | DISPLAY: Euphonia affinis | CATEGORY: /m/02w6k3z | SCORE: 0.0
INDEX: 206 | DISPLAY: Geococcyx californianus | CATEGORY: /m/01sp6d | SCORE: 0.0
INDEX: 414 | DISPLAY: Passerina cyanea | CATEGORY: /m/020vbd | SCORE: 0.0
INDEX: 829 | DISPLAY: Anas americana | CATEGORY: /m/01h2df | SCORE: 0.0
INDEX: 838 | DISPLAY: Melanitta fusca | CATEGORY: /m/01xqg0 | SCORE: 0.0
INDEX: 422 | DISPLAY: Phoebastria nigripes | CATEGORY: /m/04njb7 | SCORE: 0.0
INDEX: 846 | DISPLAY: Numenius americanus | CATEGORY: /m/01v6kn | SCORE: 0.0
INDEX: 854 | DISPLAY: Lophodytes cucullatus | CATEGORY: /m/01l_75 | SCORE: 0.0
INDEX: 214 | DISPLAY: Crax rubra | CATEGORY: /m/0fkd46 | SCORE: 0.0
INDEX: 430 | DISPLAY: Podiceps auritus | CATEGORY: /m/01cyb2 | SCORE: 0.0
INDEX: 862 | DISPLAY: Aythya valisineria | CATEGORY: /m/01l2bl | SCORE: 0.0
INDEX: 870 | DISPLAY: Thalasseus sandvicensis | CATEGORY: /m/01_g53 | SCORE: 0.0
INDEX: 438 | DISPLAY: Aechmophorus clarkii | CATEGORY: 4234 | SCORE: 0.0
INDEX: 878 | DISPLAY: Dendragapus fuliginosus | CATEGORY: /m/03nr1jx | SCORE: 0.0
INDEX: 886 | DISPLAY: Galerida cristata | CATEGORY: /m/02428m | SCORE: 0.0
INDEX: 54 | DISPLAY: Anthus novaeseelandiae novaeseelandiae | CATEGORY: /m/02pggl8 | SCORE: 0.0
INDEX: 110 | DISPLAY: Anas superciliosa × platyrhynchos | CATEGORY: 410743 | SCORE: 0.0
INDEX: 222 | DISPLAY: Sphyrapicus ruber | CATEGORY: /m/01zpyt | SCORE: 0.0
INDEX: 446 | DISPLAY: Larus heermanni | CATEGORY: /m/0394tt | SCORE: 0.0
INDEX: 894 | DISPLAY: Bombycilla cedrorum | CATEGORY: /m/01dqy5 | SCORE: 0.0
INDEX: 902 | DISPLAY: Campylorhynchus brunneicapillus | CATEGORY: /m/027qmz | SCORE: 0.0
INDEX: 514 | DISPLAY: Catharus fuscescens | CATEGORY: /m/022y2s | SCORE: 0.0
INDEX: 258 | DISPLAY: Regulus calendula | CATEGORY: /m/0246jg | SCORE: 0.0
INDEX: 522 | DISPLAY: Sialia mexicana | CATEGORY: /m/01z9pb | SCORE: 0.0
INDEX: 130 | DISPLAY: Picoides pubescens | CATEGORY: /m/01zjfg | SCORE: 0.0
INDEX: 530 | DISPLAY: Anastomus lamelligerus | CATEGORY: /m/02w4t8y | SCORE: 0.0
INDEX: 266 | DISPLAY: Icterus bullockii | CATEGORY: /m/021_kl | SCORE: 0.0
INDEX: 538 | DISPLAY: Phoenicurus ochruros | CATEGORY: /m/01bmby | SCORE: 0.0
INDEX: 66 | DISPLAY: Gallus gallus | CATEGORY: /m/02df9j | SCORE: 0.0
INDEX: 546 | DISPLAY: Haematopus unicolor | CATEGORY: /m/02w4xh0 | SCORE: 0.0
INDEX: 274 | DISPLAY: Sagittarius serpentarius | CATEGORY: /m/01d599 | SCORE: 0.0
